category,name,model,contidition,price,stock
COMBINE,2016 CASE IH 9240,9240,Used,"$ 264,900 USD",3061887
2WD &amp; MFWD TRACTOR,2018 CASE IH 380 MAGNUM TRACK,380 MAGNUM TRACK,Used,"$ 259,700 USD",3012346
2WD &amp; MFWD TRACTOR,2019 CASE IH 280,280,Used,"$ 259,000 USD",3081952
4WD TRACTOR,2017 CASE IH 620,620,Used,"$ 249,900 USD",3017367
2WD &amp; MFWD TRACTOR,2020 CASE IH 250,250,Used,"$ 249,000 USD",3078935
2WD &amp; MFWD TRACTOR,2020 CASE IH 250,250,Used,"$ 245,000 USD",3078895
2WD &amp; MFWD TRACTOR,2020 CASE IH 250,250,Used,"$ 245,000 USD",3078904
COMBINE,2018 CASE IH 5140,5140,Used,"$ 243,000 USD",3067067
2WD &amp; MFWD TRACTOR,2019 CASE IH 280,280,Used,"$ 241,900 USD",2850030
2WD &amp; MFWD TRACTOR,2019 CASE IH 280,280,Used,"$ 241,900 USD",3085554
COMBINE,2018 CASE IH 8240,8240,Used,"$ 241,600 USD",2441127
2WD &amp; MFWD TRACTOR,2018 NEW HOLLAND T8435,T8435,Used,"$ 239,500 USD",3009886
COMBINE,CASE IH 8240,8240,Used,"$ 238,500 ",3068344
4WD TRACTOR,2017 CASE IH 620,620,Used,"$ 234,900 USD",3017366
4WD TRACTOR,2013 CASE IH 500 QUAD,500 QUAD,Used,"$ 232,670 USD",2976975
4WD TRACTOR,2013 CASE IH 500 QUAD,500 QUAD,Used,"$ 227,900 USD",3085750
4WD TRACTOR,2013 CASE IH 600 QUAD,600 QUAD,Used,"$ 227,500 USD",3029587
COMBINE,2018 CASE IH 5140,5140,Used,"$ 224,720 USD",3066178
COMBINE,2018 CASE IH 6140,6140,Used,"$ 224,000 USD",3034569
2WD &amp; MFWD TRACTOR,2018 CASE IH 280C,280C,Used,"$ 222,600 USD",3071471
COMBINE,2016 CASE IH 7240,7240,Used,"$ 219,500 USD",3069488
4WD TRACTOR,2012 CASE IH 550,550,Used,"$ 214,999 USD",2997582
