category,name,model,contidition,price,stock
DRAPER HEAD,2019 MACDON FD145,FD145,Used,"$ 80,785 USD",3005794
4WD TRACTOR,1997 JOHN DEERE 9200,9200,Used,"$ 79,974 USD",3075746
DRAPER HEAD,2020 MACDON FD140,FD140,Used,"$ 79,950 USD",3006184
DRAPER HEAD,2020 MACDON FD140,FD140,Used,"$ 79,950 USD",3006163
DRAPER HEAD,2020 MACDON FD140,FD140,Used,"$ 79,950 USD",3006166
DISK,2019 KWIK TILL HSD3500,HSD3500,Used,"$ 79,950 USD",3023673
PLANTER,2013 WHITE 8824,8824,Used,"$ 79,920 USD",3077470
2WD &amp; MFWD TRACTOR,2018 CASE IH FARMALL 110C,FARMALL 110C,Used,"$ 79,900 USD",3002011
COMBINE,2010 NEW HOLLAND CR9065,CR9065,Used,"$ 79,650 ",3068468
2WD &amp; MFWD TRACTOR,2005 CASE IH MX255,MX255,Used,"$ 79,500 USD",3083385
SPRAYER- SELF PROPELLED,2006 CASE IH SPX3310,SPX3310,Used,"$ 79,500 USD",3078888
4WD TRACTOR,2004 CASE IH STX325,STX325,Used,"$ 79,500 USD",3058429
SPRAYER- SELF PROPELLED,2008 APACHE AS1010,AS1010,Used,"$ 79,488 USD",3074069
VERTICAL TILLAGE,2016 SUMMERS VRT3530,VRT3530,Used,"$ 79,380 USD",3061119
STRIP-TILL,KUHN 8005-30,8005-30,Used,"$ 78,840 ",3068454
PLANTER,KINZE 3600,3600,Used,"$ 78,840 USD",3005930
2WD &amp; MFWD TRACTOR,2021 NEW HOLLAND Workmaster 120,Workmaster 120,Used,"$ 77,900 USD",3051012
2WD &amp; MFWD TRACTOR,2019 CASE IH FARMALL 120C,FARMALL 120C,Used,"$ 77,760 USD",3025819
4WD TRACTOR,2001 CASE IH STX275,STX275,Used,"$ 77,760 ",3068341
4WD TRACTOR,2004 CASE IH STX325,STX325,Used,"$ 77,500 USD",3084612
2WD &amp; MFWD TRACTOR,2013 CASE IH FARMALL 140A,FARMALL 140A,Used,"$ 77,220 USD",3028468
CORNHEAD,2015 GERINGHOFF HZ1230F,HZ1230F,Used,"$ 76,800 USD",3071509
COMBINE,2011 CASE IH 7120,7120,Used,"$ 76,680 USD",3065016
SPRAYER- SELF PROPELLED,2008 CASE IH 3520,3520,Used,"$ 75,600 USD",2807143
COMBINE,2009 CASE IH 7088,7088,Offers available,"$ 75,600 USD",2873158
PLANTER,CASE IH 1260,1260,Used,"$ 75,600 USD",2998428
SPRAYER- SELF PROPELLED,2006 CASE IH SPX4410,SPX4410,Used,"$ 75,600 USD",3016206
RIPPER,2018 CASE IH 875,875,Used,"$ 75,600 USD",3059073
COMBINE,2008 CASE IH 7010,7010,Used,"$ 74,844 USD",3019292
CORNHEAD,2017 GERINGHOFF NS1230,NS1230,Used,"$ 74,520 USD",3053726
SPRAYER- SELF PROPELLED,2009 AG CHEM SS1084,SS1084,Offers available,"$ 74,520 USD",2860354
DRAPER HEAD,2019 MACDON FD130,FD130,Used,"$ 74,500 USD",3053381
CHISEL PLOW,2018 WILRICH 483,483,Used,"$ 73,440 USD",3073956
2WD &amp; MFWD TRACTOR,2007 CASE IH MAX140,MAX140,Used,"$ 73,000 USD",3010308
PLANTER,2009 KINZE 3660,3660,Used,"$ 72,500 USD",2938159
DISK,2016 KWIK TILL HSD4075,HSD4075,Used,"$ 72,500 USD",3071695
CORNHEAD,GERINGHOFF NS1230,NS1230,Used,"$ 72,360 USD",3078200
PLANTER,2014 GREAT PLAINS YP2425A,YP2425A,Used,"$ 72,000 USD",2574392
DRAPER HEAD,2018 MACDON FD75,FD75,Used,"$ 72,000 USD",3073999
CORNHEAD,2017 GERINGHOFF RD1230,RD1230,Used,"$ 72,000 USD",3062211
DRAPER HEAD,2018 MACDON FD140,FD140,Used,"$ 71,950 USD",3005991
DRAPER HEAD,2020 CASE IH 3162,3162,Used,"$ 71,280 USD",3045189
DRAPER HEAD,2020 CASE IH 3162,3162,Used,"$ 71,280 USD",3045188
DRAPER HEAD,2020 CASE IH 3162,3162,Used,"$ 71,280 USD",3045187
4WD TRACTOR,1998 NEW HOLLAND TV140,TV140,Used,"$ 70,900 USD",3061892
DISK,2019 CASE IH 375,375,Used,"$ 70,850 USD",2977407
CORNHEAD,2019 JOHN DEERE 708C,708C,Used,"$ 70,850 USD",3021583
2WD &amp; MFWD TRACTOR,2020 NEW HOLLAND POWERSTAR 120,POWERSTAR 120,Used,"$ 70,000 USD",3069929
2WD &amp; MFWD TRACTOR,2001 CASE IH MX220,MX220,Used,"$ 70,000 USD",3014858
DRAPER HEAD,2020 CASE IH 3162,3162,Used,"$ 69,994 USD",2920765
DRAPER HEAD,2018 MACDON FD140,FD140,Used,"$ 69,950 USD",3006140
PLANTER,2014 KINZE 3600,3600,Used,"$ 69,900 USD",2915148
CORNHEAD,2015 CASE IH 4412F,4412F,Used,"$ 69,900 USD",3067220
SKIDSTEER-TRACK,2020 CASE TV450B,TV450B,Used,"$ 69,869 USD",3008621
VERTICAL TILLAGE,2012 SALFORD RTS50,RTS50,Used,"$ 69,760 USD",3010979
CORNHEAD,2015 GERINGHOFF RD1222,RD1222,Used,"$ 69,760 USD",3026278
AIR DRILL,2009 JOHN DEERE 1835,1835,Used,"$ 69,760 USD",2959866
SPRAYER- SELF PROPELLED,2005 CASE IH SPX4410,SPX4410,Used,"$ 69,760 USD",3031188
2WD &amp; MFWD TRACTOR,2013 CASE IH 125,125,Used,"$ 69,500 USD",3070232
2WD &amp; MFWD TRACTOR,2013 NEW HOLLAND TS6140,TS6140,Used,"$ 68,670 USD",2991976
2WD &amp; MFWD TRACTOR,2014 CASE IH MAX140,MAX140,Used,"$ 68,000 USD",2985246
COMBINE,2010 NEW HOLLAND CR9070,CR9070,Used,"$ 67,900 USD",2948744
2WD &amp; MFWD TRACTOR,2014 CASE IH 140,140,Offers available,"$ 67,580 USD",2989162
PLANTER,2009 CASE IH 1250,1250,Used,"$ 67,580 ",3059403
VERTICAL TILLAGE,2013 SALFORD 4100,4100,Used,"$ 67,362 USD",3067236
COMBINE,2008 CASE IH 7010,7010,Used,"$ 67,223 ",3068353
4WD TRACTOR,1999 CASE IH 9350,9350,Used,"$ 66,900 USD",2991188
4WD TRACTOR,1998 JOHN DEERE 9400,9400,Used,"$ 66,900 USD",3086281
DISK,2012 FARMKING 8700,8700,Used,"$ 66,600 USD",3079567
SPRAYER- SELF PROPELLED,2003 JOHN DEERE 4710,4710,Used,"$ 66,500 USD",3061849
2WD &amp; MFWD TRACTOR,2008 NEW HOLLAND T7030,T7030,Used,"$ 66,490 USD",2968402
COMBINE,2011 CASE IH 8120,8120,Used,"$ 66,490 USD",2632301
SPRAYER- SELF PROPELLED,2006 ROGATOR 1074,1074,Used,"$ 65,945 USD",2982321
PLANTER,2012 CASE IH 1250,1250,Used,"$ 65,945 USD",2994175
DRAPER HEAD,2017 MACDON FD75,FD75,Used,"$ 65,900 USD",3084897
DRAPER HEAD,2019 CASE IH 3162,3162,Used,"$ 65,900 USD",2898098
DISK,2015 HORSCH ANDERSON RT35,RT35,Used,"$ 65,400 USD",3035965
DRAPER HEAD,2018 MACDON FD75,FD75,Used,"$ 65,400 USD",3082593
DRAPER HEAD,2018 MACDON FD75,FD75,Used,"$ 65,400 USD",3046260
COMBINE,2008 JOHN DEERE 9670,9670,Used,"$ 65,400 USD",3076779
PLANTER,2004 JOHN DEERE DB90,DB90,Used,"$ 65,400 USD",3033937
DRAPER HEAD,CASE IH 3162,3162,Used,"$ 65,400 USD",3060084
FIELD CULTIVATOR,2017 LANDOLL 9650,9650,Used,"$ 65,400 USD",2929262
2WD &amp; MFWD TRACTOR,2003 CASE IH MX255,MX255,Used,"$ 64,900 USD",3079412
SKIDSTEER-TRACK,2019 CASE TV450,TV450,Used,"$ 64,855 USD",3017035
VERTICAL TILLAGE,2017 SUMMERS VRT3530,VRT3530,Used,"$ 64,310 USD",2902371
4WD TRACTOR,1991 CASE IH 9270,9270,Used,"$ 63,900 ",3085269
SKIDSTEER-TRACK,2019 CASE TV450,TV450,Used,"$ 63,765 USD",3012737
2WD &amp; MFWD TRACTOR,2018 CASE IH FARMALL 90C,FARMALL 90C,Used,"$ 63,220 USD",3079867
2WD &amp; MFWD TRACTOR,2021 NEW HOLLAND POWERSTAR 75,POWERSTAR 75,Used,"$ 62,912 USD",3075308
2WD &amp; MFWD TRACTOR,2014 CASE IH FARMALL 125A,FARMALL 125A,Used,"$ 62,900 USD",3036591
COMBINE,2008 CASE IH 8010,8010,Used,"$ 62,500 USD",2116258
2WD &amp; MFWD TRACTOR,2020 NEW HOLLAND POWERSTAR 100,POWERSTAR 100,Used,"$ 62,500 USD",3079784
2WD &amp; MFWD TRACTOR,1995 CASE IH 7220,7220,Used,"$ 62,130 USD",3068045
DRAPER HEAD,2019 CASE IH 3162,3162,Used,"$ 61,600 USD",3075153
DRAPER HEAD,2019 CASE IH 3162,3162,Used,"$ 61,600 USD",3075152
2WD &amp; MFWD TRACTOR,2017 CASE IH FARMALL 90C,FARMALL 90C,Used,"$ 61,585 USD",3080927
2WD &amp; MFWD TRACTOR,2017 CASE IH FARMALL 100C,FARMALL 100C,Used,"$ 61,585 USD",3017075
DRAPER HEAD,2017 MACDON FD75,FD75,Used,"$ 61,100 USD",3046261
COMBINE,2009 CASE IH 7088,7088,Used,"$ 61,040 USD",3076753
PLANTER,2014 MONOSEM NGPLUS,NGPLUS,Used,"$ 61,040 USD",2867018
2WD &amp; MFWD TRACTOR,2008 CASE IH MAX125,MAX125,Used,"$ 60,500 USD",3075421
DRAPER HEAD,2016 JOHN DEERE 645FD,645FD,Used,"$ 60,500 USD",2897503
PLANTER,2012 CASE IH 1250,1250,Used,"$ 60,500 USD",2985311
DRAPER HEAD,2018 CASE IH 3162,3162,Used,"$ 59,994 USD",3074401
CORNHEAD,2014 JOHN DEERE 612C,612C,Used,"$ 59,950 USD",3015944
CORNHEAD,2014 JOHN DEERE 612C,612C,Used,"$ 59,950 USD",3013664
PLANTER,CASE IH 1250,1250,Used,"$ 59,950 USD",3009248
RIPPER,2014 CASE IH 875,875,Used,"$ 59,950 USD",3063739
PLANTER,2014 KINZE 3600,3600,Used,"$ 59,500 USD",2982976
COMBINE,2006 JOHN DEERE 9760,9760,Used,"$ 59,500 USD",3078672
SKIDSTEER-TRACK,2019 BOBCAT T770,T770,Used,"$ 59,400 USD",3046307
COMBINE,2005 CASE IH 2377,2377,Used,"$ 59,400 USD",3020959
2WD &amp; MFWD TRACTOR,2005 MCCORMICK MTX120,MTX120,Used,"$ 59,400 USD",3060291
SKIDSTEER-TRACK,2019 CASE TR340,TR340,Used,"$ 58,960 USD",2890078
RIPPER,2014 CASE IH 875,875,Used,"$ 58,300 USD",3073746
DISK,2014 HORSCH ANDERSON RT370,RT370,Used,"$ 57,750 USD",3052410
FIELD CULTIVATOR,2011 CASE IH TM200,TM200,Used,"$ 57,750 ",3068307
RIPPER,2013 CASE IH 870,870,Used,"$ 57,200 USD",3063740
SKIDSTEER-TRACK,2016 ASV RT-75,RT-75,Used,"$ 57,200 USD",2975323
DRAPER HEAD,2015 MACDON FD75,FD75,Used,"$ 56,900 USD",3077427
CORNHEAD,2015 GERINGHOFF 12R30,12R30,Used,"$ 56,300 USD",3059909
COMBINE,2009 NEW HOLLAND CR9070,CR9070,Used,"$ 56,100 USD",3083617
CORNHEAD,2013 GERINGHOFF HZ1230,HZ1230,Used,"$ 56,100 USD",3009652
SKIDSTEER-TRACK,2020 CASE TR310,TR310,Used,"$ 55,900 USD",3060917
DISK,2014 KRAUSE 8000,8000,Used,"$ 55,600 USD",2691210
PLANTER,2011 CASE IH 1240,1240,Used,"$ 55,550 ",3059472
CORNHEAD,2015 CASE IH 4408,4408,Used,"$ 55,000 USD",3033948
PLANTER,2010 CASE IH 1250,1250,Used,"$ 55,000 USD",3034655
DRAPER HEAD,2015 MACDON FD75,FD75,Used,"$ 55,000 USD",3071698
COMBINE,2009 CASE IH 8120,8120,Used,"$ 55,000 USD",3077754
SPRAYER- SELF PROPELLED,2022 CASE IH SPX3200,SPX3200,Used,"$ 55,000 USD",3022763
2WD &amp; MFWD TRACTOR,2015 CASE IH FARMALL 90C,FARMALL 90C,Used,"$ 55,000 USD",3035396
SKIDSTEER-TRACK,2020 NEW HOLLAND C337,C337,Used,"$ 55,000 USD",3023112
SKIDSTEER-TRACK,2020 CASE TR310,TR310,Used,"$ 54,540 ",3068277
SPRAYER PULL-TYPE,2012 TOP AIRE 2400,2400,Used,"$ 54,450 USD",3050789
2WD &amp; MFWD TRACTOR,2001 CASE IH MX240,MX240,Used,"$ 53,900 USD",3075882
SKIDSTEER-TRACK,2018 CASE TR340,TR340,Used,"$ 53,800 USD",3051071
CORNHEAD,CAPELLO 1820,1820,Used,"$ 53,700 USD",3082100
CORNHEAD,2014 CASE IH 4412,4412,Used,"$ 53,700 USD",2856326
VERTICAL TILLAGE,2011 SALFORD 570,570,Used,"$ 53,350 USD",3349434
RIPPER,2014 CASE IH 875,875,Used,"$ 53,350 USD",3080431
FIELD CULTIVATOR,2014 CASE IH 200,200,Used,"$ 53,350 USD",2967838
FIELD CULTIVATOR,2014 CASE IH T200,T200,Used,"$ 53,350 USD",2967837
DISK,2015 LANDOLL 6250,6250,Used,"$ 53,200 USD",3026217
SPRAYER- SELF PROPELLED,2001 CASE IH SPX4260,SPX4260,Used,"$ 53,000 USD",3060480
4WD TRACTOR,1996 CASE IH 9370,9370,Used,"$ 52,800 USD",3075009
FIELD CULTIVATOR,2014 CASE IH T200,T200,Used,"$ 52,700 USD",3057201
PLANTER,2008 CASE IH 1250,1250,Used,"$ 52,628 ",3059473
COMBINE,2005 CASE IH 2388,2388,Used,"$ 52,500 USD",2908414
COMBINE ATCH,2019 ZUIDBERG TRACKS,TRACKS,Used,"$ 52,500 USD",2957117
FIELD CULTIVATOR,2014 CASE IH TM200,TM200,Used,"$ 52,250 ",3068339
CORNHEAD,2016 CASE IH 4408,4408,Used,"$ 52,000 USD",3036622
DISK,2012 HORSCH ANDERSON RT370,RT370,Used,"$ 51,700 USD",2973373
CORNHEAD,2015 JOHN DEERE 612C,612C,Used,"$ 51,700 USD",2897499
COMBINE,2007 NEW HOLLAND CR9070,CR9070,Used,"$ 51,700 USD",2897520
CORNHEAD,2013 GERINGHOFF NS1230,NS1230,Used,"$ 51,150 USD",3087028
FIELD CULTIVATOR,2013 CASE IH T200,T200,Used,"$ 50,930 USD",2971006
SUNFLOWER HEADER,2016 SUNMASTER 12R30,12R30,Used,"$ 50,900 USD",3070431
PLANTER,2010 CASE IH 1250,1250,Used,"$ 50,600 USD",2875271
FIELD CULTIVATOR,CASE IH T200,T200,Used,"$ 50,600 USD",3062343
SPRAYER PULL-TYPE,TOP AIRE 2400,2400,Used,"$ 50,600 USD",2716112
PLANTER,2011 CASE IH 1250,1250,Used,"$ 50,400 USD",3060789
PLANTER,2010 CASE IH 1240,1240,Used,"$ 50,000 USD",13003588
BALER,2011 NEW HOLLAND BB9080,BB9080,Used,"$ 49,950 USD",3051395
CORNHEAD,2013 GERINGHOFF 1820H,1820H,Used,"$ 49,950 USD",2776901
CORNHEAD,GERINGHOFF NS1230,NS1230,Used,"$ 49,950 USD",3078201
2WD &amp; MFWD TRACTOR,1992 CASE IH 7150,7150,Used,"$ 49,950 USD",3035432
DRAPER HEAD,2013 MACDON FD75,FD75,Used,"$ 49,950 USD",3067607
4WD TRACTOR,1990 CASE IH 9170,9170,Used,"$ 49,950 USD",3069974
RIPPER,2015 KRAUSE 4855,4855,Used,"$ 49,950 USD",3019784
PLANTER,KINZE 3600,3600,Used,"$ 49,950 USD",2934486
DISK,2012 HORSCH ANDERSON PT300,PT300,Used,"$ 49,950 USD",3052965
2WD &amp; MFWD TRACTOR,1993 CASE IH 7150,7150,Used,"$ 49,950 USD",3051180
CORNHEAD,2011 GERINGHOFF RD1622,RD1622,Used,"$ 49,950 USD",3052071
CORNHEAD,2015 GERINGHOFF HZ830,HZ830,Used,"$ 49,950 USD",3071501
PLANTER,2008 KINZE 3600,3600,Used,"$ 49,950 USD",2979143
FIELD CULTIVATOR,2013 CASE IH T200,T200,Used,"$ 49,950 USD",3070300
SPRAYER- SELF PROPELLED,2003 ROGATOR 864,864,Used,"$ 49,950 USD",3006080
4WD TRACTOR,1988 CASE IH 9130,9130,Used,"$ 49,950 USD",3066735
APPLICATOR,2017 BLU-JET AT4615,AT4615,Used,"$ 49,900 USD",2944899
DRAPER HEAD,2015 MACDON FD75,FD75,Used,"$ 49,900 USD",2604919
CHISEL PLOW,2017 WILRICH 2530,2530,Used,"$ 49,900 USD",3027280
TRUCK,2004 STERLING A9500,A9500,Used,"$ 49,500 USD",2865866
2WD &amp; MFWD TRACTOR,1996 CASE IH 8940,8940,Used,"$ 49,500 USD",2839050
FLEX HEAD,2019 CASE IH 3020,3020,Used,"$ 49,395 USD",3054117
DISK,2013 GREAT PLAINS 8552,8552,Used,"$ 49,195 USD",3063037
DISK,2010 WISHEK 842NT,842NT,Used,"$ 49,000 USD",2955094
DRAPER HEAD,2013 CASE IH 2162,2162,Used,"$ 48,840 USD",2856819
BALER,2021 NEW HOLLAND RB560,RB560,Used,"$ 48,840 USD",3065132
FIELD CULTIVATOR,2009 CASE IH T200,T200,Used,"$ 48,840 USD",2968952
CORNHEAD,2018 CAPELLO 830,830,Used,"$ 48,840 USD",3076543
CORNHEAD,2013 DRAGO 1220,1220,Used,"$ 48,500 USD",3001235
SKIDSTEER-TRACK,2019 CASE TR310,TR310,Used,"$ 48,400 USD",3082109
DRAPER HEAD,2011 CASE IH 2162,2162,Used,"$ 48,400 USD",3012348
SKIDSTEER-TRACK,2019 CASE TR310,TR310,Used,"$ 48,318 USD",3082215
CORNHEAD,2014 CASE IH 4412,4412,Used,"$ 48,285 USD",2890154
FEEDER GRIND EQUIPMENT,2020 JAYLOR 5650,5650,Used,"$ 48,285 ",3068419
DISK,2011 CASE IH 870,870,Used,"$ 47,942 ",3059433
CORNHEAD,2015 GERINGHOFF RD830,RD830,Used,"$ 47,900 USD",3063306
PLANTER,2009 CASE IH 1250,1250,Used,"$ 47,730 USD",2875236
PLANTER,2014 CASE IH 1235,1235,Used,"$ 47,730 USD",3075880
SKIDSTEER-TRACK,2017 BOBCAT T750,T750,Used,"$ 47,730 USD",3014248
DRAPER HEAD,2012 CASE IH 2162,2162,Used,"$ 47,690 ",3059370
DRAPER HEAD,2012 JOHN DEERE 640FD,640FD,Used,"$ 47,500 USD",2974304
SKIDSTEER-WHEEL,2020 CASE SV280,SV280,Used,"$ 47,075 USD",3084717
SOIL FINISHER,2015 LANDOLL 8530,8530,Used,"$ 47,000 USD",3011315
COMBINE,2003 CASE IH 8010,8010,Used,"$ 46,900 USD",3074337
FIELD CULTIVATOR,2009 CASE IH T200,T200,Used,"$ 46,900 USD",3076427
VERTICAL TILLAGE,2016 SALFORD i5100,i5100,Used,"$ 46,620 USD",3028345
AIR DRILL,1997 JOHN DEERE 1850,1850,Used,"$ 46,620 USD",3074372
DRAPER HEAD,2010 CASE IH 2162,2162,Used,"$ 46,000 USD",2969372
DRAPER HEAD,2013 CASE IH 2162,2162,Used,"$ 46,000 USD",3028821
4WD TRACTOR,1994 FORD 9480,9480,Used,"$ 46,000 USD",3001027
VERTICAL TILLAGE,2009 SALFORD 570,570,Used,"$ 45,900 USD",2810289
AIR DRILL,2002 CASE IH SDX40,SDX40,Used,"$ 45,900 USD",3067344
SPRAYER- SELF PROPELLED,2004 MILLER 2200TT,2200TT,Used,"$ 45,510 USD",2960950
4WD TRACTOR,1997 CASE IH 9370,9370,Used,"$ 45,510 USD",2183131
CORNHEAD,2014 CASE IH 4412,4412,Used,"$ 45,510 USD",2733223
2WD &amp; MFWD TRACTOR,1985 JOHN DEERE 4450,4450,Used,"$ 45,510 USD",3074072
COMBINE,1996 CASE IH 2188,2188,Used,"$ 45,175 ",3068325
COMBINE,1999 CASE IH 2388,2388,Used,"$ 45,000 USD",3052535
COMBINE,2006 CASE IH 8010,8010,Used,"$ 45,000 USD",3068038
BALER,2020 NEW HOLLAND RB560,RB560,Used,"$ 44,955 USD",3002710
COMBINE ATCH,SOUCY TRACKS,TRACKS,Used,"$ 44,900 USD",2937729
BALER,2019 JOHN DEERE 560M,560M,Used,"$ 44,900 USD",3029579
VERTICAL TILLAGE,2013 JOHN DEERE 2623VT,2623VT,Used,"$ 44,900 USD",2958573
FIELD CULTIVATOR,2015 CASE IH TM200,TM200,Used,"$ 44,895 ",3068337
MOWER CONDITIONER,2021 NEW HOLLAND DB316R,DB316R,Used,"$ 44,511 USD",2983799
MOWER CONDITIONER,2021 CASE IH DC163,DC163,Used,"$ 44,400 USD",3082600
2WD &amp; MFWD TRACTOR,2001 AGCO DT180A,DT180A,Used,"$ 44,400 USD",2942526
COMBINE,2001 CASE IH 2366,2366,Used,"$ 44,400 USD",6616030
SKIDSTEER-TRACK,2013 BOBCAT T650,T650,Used,"$ 44,400 USD",3086380
4WD TRACTOR,1996 JOHN DEERE 8870,8870,Used,"$ 44,400 USD",3025397
VERTICAL TILLAGE,2013 JOHN DEERE 2623VT,2623VT,Used,"$ 44,400 USD",3017397
VERTICAL TILLAGE,2011 SALFORD 570X,570X,Used,"$ 44,400 USD",3032321
DISK,2011 KRAUSE 8000,8000,Used,"$ 44,000 USD",2966805
2WD &amp; MFWD TRACTOR,2013 CASE IH 85C,85C,Used,"$ 44,000 USD",3007156
DRAPER HEAD,2011 MACDON FD70,FD70,Used,"$ 43,900 USD",3000818
SUNFLOWER HEADER,2014 SUNMASTER 1230,1230,Used,"$ 43,900 USD",3070716
SUNFLOWER HEADER,2014 SUNMASTER 1230,1230,Used,"$ 43,900 USD",3070718
CHISEL PLOW,2013 SUMMERS 44,44,Used,"$ 43,845 USD",3077001
SKIDSTEER-TRACK,2013 CASE TR320,TR320,Used,"$ 43,845 USD",3079910
2WD &amp; MFWD TRACTOR,2020 NEW HOLLAND WORKMASTER 95,WORKMASTER 95,Offers available,"$ 43,290 USD",2901945
GRAIN CART,UNVERFERTH 1315,1315,Used,"$ 43,290 USD",3027422
SKIDSTEER-WHEEL,2018 CASE SR240,SR240,Used,"$ 43,290 USD",2790117
CORNHEAD,2012 CAPELLO 1822,1822,Used,"$ 43,290 USD",3081414
COMBINE,2001 CASE IH 2366,2366,Used,"$ 43,250 USD",3060695
COMBINE,2000 CASE IH 2366,2366,Used,"$ 43,000 USD",3052926
VERTICAL TILLAGE,2014 JOHN DEERE 2623VT,2623VT,Used,"$ 43,000 USD",2895256
CORNHEAD,2012 JOHN DEERE 612C,612C,Used,"$ 42,735 USD",2972015
SKIDSTEER-WHEEL,2018 CASE SV340,SV340,Used,"$ 42,735 USD",3012565
2WD &amp; MFWD TRACTOR,1993 CASE IH 7220,7220,Used,"$ 42,500 ",3088120
DISK,2015 CASE IH 335VT,335VT,Used,"$ 42,180 USD",2924068
FIELD CULTIVATOR,2009 CASE IH TM200,TM200,Used,"$ 42,180 ",3068338
DRAPER HEAD,2010 CASE IH 2162,2162,Used,"$ 42,000 USD",3021763
COMBINE,2002 CASE IH 2388,2388,Used,"$ 42,000 USD",3066018
DRAPER HEAD,2011 CASE IH 2162,2162,Used,"$ 41,980 USD",3060598
COMBINE,1999 CASE IH 2388,2388,Used,"$ 41,900 USD",3081353
GRAIN CART,2011 DEMCO 1050,1050,Used,"$ 41,625 USD",3067472
DRAPER HEAD,2014 CASE IH 3162,3162,Used,"$ 41,000 USD",3063290
COMBINE,2002 CASE IH 2366,2366,Used,"$ 41,000 USD",3058999
CORNHEAD,2012 DRAGO 1230,1230,Used,"$ 41,000 USD",3028041
PLANTER,2005 KINZE 3600,3600,Used,"$ 41,000 USD",3072295
VERTICAL TILLAGE,2011 SALFORD 570HDXT,570HDXT,Used,"$ 41,000 USD",3012448
GRAIN CART,2008 J&amp;M MANUFACTURING 1150,1150,Used,"$ 40,900 USD",3025091
BALER,2019 CASE IH RB565,RB565,Used,"$ 40,515 USD",3032418
SPRAYER- SELF PROPELLED,2002 ROGATOR 854,854,Used,"$ 40,000 USD",2560350
DRAPER HEAD,2012 MACDON FD70,FD70,Used,"$ 39,995 USD",3007261
COMBINE,2001 CASE IH 2388,2388,Used,"$ 39,960 USD",3019530
COMBINE,2001 CASE IH 2366,2366,Used,"$ 39,960 USD",9235638
DISK,2013 SUMMERS 2510,2510,Used,"$ 39,960 USD",3012909
FIELD CULTIVATOR,2010 CASE IH T200,T200,Used,"$ 39,960 USD",2936319
DRAPER HEAD,2010 CASE IH 2162,2162,Used,"$ 39,960 USD",2824116
FLEX HEAD,2019 JOHN DEERE 635F,635F,Used,"$ 39,960 USD",3021632
CORNHEAD,2011 GERINGHOFF RD1230,RD1230,Used,"$ 39,960 USD",2999588
4WD TRACTOR,1992 CASE IH 9270,9270,Used,"$ 39,900 USD",3074156
RIPPER,2011 CASE IH 870,870,Used,"$ 39,900 USD",3058456
BALER,2019 JOHN DEERE 560M,560M,Used,"$ 39,900 USD",2980660
DRAPER HEAD,2012 MACDON FD70,FD70,Used,"$ 39,738 USD",3073876
4WD TRACTOR,1996 CASE IH 9370,9370,Used,"$ 39,520 USD",3027427
FIELD CULTIVATOR,2010 CASE IH T200,T200,Used,"$ 39,500 USD",3025828
4WD TRACTOR,1993 CATERPILLAR 85C,85C,Used,"$ 39,500 USD",3071483
AIR DRILL,2009 CASE IH ATX400,ATX400,Used,"$ 39,200 USD",3065778
BALER,2018 NEW HOLLAND RB560,RB560,Used,"$ 39,200 USD",2919968
SKIDSTEER-WHEEL,2014 GEHL V400,V400,Used,"$ 39,200 USD",2991081
CORNHEAD,2012 GERINGHOFF RD1230,RD1230,Used,"$ 39,000 USD",3062207
DRAPER HEAD,2010 CASE IH 2162,2162,Used,"$ 39,000 USD",3014940
COMBINE,2001 CASE IH 2388,2388,Used,"$ 39,000 USD",3085660
AIR DRILL,2003 CASE IH SDX40,SDX40,Used,"$ 38,900 USD",2954089
DRAPER HEAD,2010 CASE IH 2162,2162,Used,"$ 38,640 USD",3075496
BALER,2018 CASE IH RB565,RB565,Used,"$ 38,640 USD",3045240
DISK,2008 CASE IH 330,330,Used,"$ 38,528 USD",2680801
2WD &amp; MFWD TRACTOR,2009 CASE IH MAX115,MAX115,Used,"$ 38,528 USD",3068037
DRAPER HEAD,2016 HONEY BEE SP42,SP42,Used,"$ 38,080 USD",2875554
4WD TRACTOR,1992 CASE IH 9280,9280,Used,"$ 38,080 ",3088122
BALER,2018 CASE IH RB565,RB565,Used,"$ 38,080 USD",3032397
DRAPER HEAD,MACDON FD70,FD70,Used,"$ 38,080 USD",3071427
VERTICAL TILLAGE,2007 SALFORD 570,570,Used,"$ 38,000 USD",2975930
CORNHEAD,2010 JOHN DEERE 612C,612C,Used,"$ 38,000 USD",3014123
APPLICATOR,2002 AGCHEM 6103,6103,Used,"$ 37,900 USD",2962134
FIELD CULTIVATOR,2009 CASE IH TM II,TM II,Used,"$ 37,900 USD",3007196
CHISEL PLOW,SUMMERS 36,36,Used,"$ 37,800 USD",3032634
GRAIN CART,2010 BRENT 1082,1082,Used,"$ 37,520 USD",3013824
BALER,2018 NEW HOLLAND RB560,RB560,Used,"$ 37,520 USD",3064870
2WD &amp; MFWD TRACTOR,2013 JOHN DEERE 5055E,5055E,Used,"$ 37,500 USD",3002225
AIR DRILL,2009 CASE IH 700,700,Used,"$ 37,500 USD",3008013
VERTICAL TILLAGE,2008 SALFORD 570,570,Used,"$ 37,500 USD",3076060
GRAIN CART,2011 BRENT 882,882,Used,"$ 37,000 USD",3085185
DRAPER HEAD,2010 CASE IH 2162,2162,Used,"$ 37,000 USD",3082816
COMBINE,2002 CASE IH 2388,2388,Used,"$ 36,960 USD",2940678
